data,phone,company,country,date,other,predicted_label,company_score,country_score,date_score,other_score,phone_score,ParsedCountry,ParsedNumber,ParsedCompanyName,ParsedLegalSuffix
(770) 634-5776,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
882-486-3423,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-100141,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
(778) 237-9987,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
114.849.7487,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(006) 701-6092,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(920) 360-9226,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-45433,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
860-258-7736,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
372.256.8279,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
786-642-5404,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
026-672-7401,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
789-500-3530,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-4341,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
260.221.3264,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
028-966-9587,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
285-776-1465,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-10125,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
(187) 378-7916,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(262) 561-7825,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
968-462-5137,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-41723,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
581-242-8956,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(545) 783-5388,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
760.428.7910,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(678) 200-0113,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(380) 687-8650,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
317-166-8251,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
152-299-6630,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-128774,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
-171775,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
(399) 504-1558,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
598.262.1155,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
903-804-5081,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(578) 495-6339,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-2484,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-6855,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
156.685.7092,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
796-910-3583,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
445-312-6380,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
117.886.2081,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call (089) 465-5135,1,0,0,0,0,phone,0.165,0.145,0.0,0.12,0.57, , , , 
-145118,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
(008) 084-2865,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(188) 409-2643,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(546) 352-6944,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
627.741.5657,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
190.548.3741,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
618-449-9703,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-64936,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-10624,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
(978) 435-6018,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
767-505-2085,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call 777-412-2740,1,0,0,0,0,phone,0.15,0.16,0.0,0.13,0.56, , , , 
-5437,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
089-401-3273,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(275) 554-3170,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(207) 671-6826,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
943.222.5760,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call +1-749-831-8347,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59, , , , 
-5760,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
372.662.1723,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call +91-34820-58470,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59, , , , 
-7228,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
896.561.0784,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
400-703-9723,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call +1-462-576-4340,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59, , , , 
-3136,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-4974,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
601.152.2300,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(618) 443-0531,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-1217,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-52787,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
(624) 639-5780,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call 371-014-2620,1,0,0,0,0,phone,0.15,0.16,0.0,0.13,0.56, , , , 
536.487.7529,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call +1-595-593-7157,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59, , , , 
695.188.3033,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call 496.998.1548,1,0,0,0,0,phone,0.12,0.195,0.0,0.11,0.575, , , , 
Call +91-38766-24920,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59,IN,3876624920, , 
-5762,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
Call +1-742-968-0662,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59,CA,7429680662, , 
-1119,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
508.107.5332,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
396-417-6762,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
339-611-0703,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(892) 147-1826,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(845) 941-2925,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-6313,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
Call +91-95409-82477,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59,IN,9540982477, , 
-2974,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
498-018-8327,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(939) 507-0005,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
110-598-5915,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(252) 094-0130,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call 416-390-1931,1,0,0,0,0,phone,0.15,0.16,0.0,0.13,0.56, , , , 
270.221.1665,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-10270,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-3600,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
391-891-4699,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(221) 587-7108,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(990) 673-6763,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
333-518-6951,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
181.075.6732,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
395-905-3878,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call +91-29903-74752,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59,IN,2990374752, , 
Call 106-415-9186,1,0,0,0,0,phone,0.15,0.16,0.0,0.13,0.56, , , , 
-156974,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
740.497.0320,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
847.329.8655,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(216) 169-4745,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
626-451-4513,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-51050,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-89715,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
(123) 260-5697,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
752-890-4319,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-54027,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
(237) 919-0536,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-58770,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-5494,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-85035,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
(083) 779-7129,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-6311,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
230.116.7826,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call (468) 431-2476,1,0,0,0,0,phone,0.165,0.145,0.0,0.12,0.57, , , , 
274.577.4845,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-65925,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-9545,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
685-603-4636,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(081) 994-0735,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(582) 258-1971,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-99836,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
(094) 753-9389,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-9741,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-2764,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
456.719.6367,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call +1-538-805-2360,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59, , , , 
022.554.4182,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(725) 931-3020,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call +91-41288-70326,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59, , , , 
-8750,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-32479,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
(129) 784-7673,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
120-799-0957,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
760-850-7799,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call 834.617.7514,1,0,0,0,0,phone,0.12,0.195,0.0,0.11,0.575, , , , 
305-737-5802,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-5726,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-41079,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-89688,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-97788,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
485-874-8496,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-3875,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
Call 814-959-7059,1,0,0,0,0,phone,0.15,0.16,0.0,0.13,0.56, , , , 
-51952,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-9006,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-1795,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-7473,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-137441,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
098-077-9035,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-11322,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
(082) 634-6981,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-65836,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
(575) 505-9455,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
497.552.1407,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
881.508.9969,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(336) 342-0918,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(180) 125-5427,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
139.940.0550,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-7536,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-941,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-139318,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
(822) 646-7798,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-76355,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
758.200.6693,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
045-604-5525,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
087-755-7784,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
834-013-9085,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-8055,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
021.945.8200,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call (874) 280-5655,1,0,0,0,0,phone,0.165,0.145,0.0,0.12,0.57, , , , 
-104245,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
Call +91-92177-06196,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59,IN,9217706196, , 
-135778,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
316.041.4143,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call (372) 549-0110,1,0,0,0,0,phone,0.165,0.145,0.0,0.12,0.57, , , , 
-10376,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-8498,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-96746,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-149905,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
765-044-5762,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-5322,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
(000) 945-7783,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-7941,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
Call +91-16021-25174,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59,IN,1602125174, , 
257.750.2993,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
930.432.0301,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-69069,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
393-722-2139,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(630) 350-0615,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-5139,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-7243,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
(523) 961-9554,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(588) 981-4061,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
017-522-6468,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-84109,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
(096) 970-4866,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
998-094-7407,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
987-453-9508,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-93850,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-130171,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
402-429-2871,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(817) 933-9641,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(588) 553-9716,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
510-746-5209,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
346-991-1006,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
788-564-6834,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
120.774.1526,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-6416,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
270-406-5479,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
735-952-6773,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(300) 398-6752,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-9240,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-22934,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
814-578-9767,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-9310,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
341-367-1536,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-11197,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-190269,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
Call 064-234-6268,1,0,0,0,0,phone,0.15,0.16,0.0,0.13,0.56, , , , 
681.740.3994,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
142.798.6237,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-113727,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
-113699,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
-8376,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-100800,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
(489) 125-4458,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-181018,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
342-728-3123,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
526-504-6435,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-117125,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
(381) 044-9661,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
907-026-7098,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(242) 781-7872,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
352.319.7892,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call +1-913-923-7842,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59,US,9139237842, , 
